drone_id,drone_name,manufacturer,available,in_mission,units_in_inventory,wind_resistance_ms,altitude_capability_m,battery_life_min,communication_range_km,payload_capacity_kg,speed_kmh,camera_type,recharge_time_h_to_80pct,operational_cost_eur_per_mission,temperature_tolerance_min_c,temperature_tolerance_max_c,has_thermal,has_night_vision,has_rgb,drone_archetype,best_use,wind_resistance_band,cost_band,country_of_origin,ndaa_compliant,ip_rating,weight_with_batteries_g,thermal_resolution,visible_camera_max_mp,laser_rangefinder_m,gps_denied_capable,hot_swap_batteries,notes
DJI-M30T,DJI Matrice 30T,DJI,true,false,0,15,7000,35,15,0.23,82.8,"RGB, Thermal",0.5,240,-20,50,true,false,true,Mountain Rescue,High altitude,High,Medium,China,false,IP55,3770,640x512,48,1200,true,true,IP55 rating handles rain and dust; popular for public-safety operations
DJI-M4T,DJI Matrice 4T,DJI,true,false,0,12,6000,42,25,0.2,75.6,"RGB, Thermal",0.6,180,-10,40,true,true,true,Forest Scout,Forest search,Medium,Medium,China,false,,1219,640x512,48,1800,true,false,NIR auxiliary light gives night-vision capability; portable
DJI-M350-H30T,DJI Matrice 350 RTK + H30T,DJI,true,false,0,12,7000,47,20,0.93,82.8,"RGB, Thermal",1.0,420,-20,50,true,true,true,Mountain Rescue,High altitude,Medium,Medium-high,China,false,IP55,6470,1280x1024,40,3000,true,true,Highest-resolution thermal in DJI lineup; 3 km laser rangefinder
DJI-M400,DJI Matrice 400,DJI,true,false,0,15,7000,50,40,6.0,90.0,"RGB, Thermal",1.0,520,-20,50,true,true,true,Long Range,Larger search areas,High,Medium-high,China,false,IP55,9500,1280x1024,40,3000,true,true,Heaviest payload here — can carry medical supplies in addition to thermal payload
DJI-MAVIC3T,DJI Mavic 3 Thermal,DJI,true,false,0,12,6000,38,15,0.0,75.6,"RGB, Thermal",1.0,140,-10,40,true,false,true,Forest Scout,Forest search,Medium,Low,China,false,,920,640x512,48,1200,false,false,Pocketable; fastest to deploy; no spare lift capacity
AUTEL-EVOMAX4T,Autel EVO Max 4T,Autel Robotics,true,false,0,12,7000,36,20,0.0,82.8,"RGB, Thermal",1.0,190,-20,50,true,false,true,Forest Scout,Forest search,Medium,Medium,China,false,IP43,1640,640x512,48,1200,true,true,mmWave radar for obstacle avoidance; anti-jamming for difficult RF environments
AUTEL-EVOII-DUAL640T,Autel EVO II Dual 640T V3,Autel Robotics,true,false,0,12,5500,36,15,0.0,72.0,"RGB, Thermal",1.5,110,-10,40,true,false,true,Forest Scout,Forest search,Medium,Low,China,false,,1150,640x512,48,0,false,false,Budget-friendly thermal option for small SAR teams
SKYDIO-X10,Skydio X10,Skydio,true,false,0,12.8,4570,34,12,0.0,72.0,"RGB, Thermal, Night Vision",1.0,320,-20,45,true,true,true,Night Search,Night missions,Medium,Medium,USA,true,IP55,2110,640x512,64,0,true,true,NightSense enables zero-light autonomous flight; FLIR Boson+ thermal
SKYDIO-X10D,Skydio X10D,Skydio,true,false,0,12.8,4570,34,12,0.0,72.0,"RGB, Thermal, Night Vision",1.0,400,-20,45,true,true,true,Night Search,Night missions,Medium,Medium-high,USA,true,IP55,2110,640x512,64,0,true,true,Defense variant on the Blue UAS list; GPS-denied/spoofed navigation
SKYDIO-X2D,Skydio X2D,Skydio,true,false,0,11,4570,30,6,0.0,72.0,"RGB, Thermal, Night Vision",1.0,260,-20,43,true,true,true,Night Search,Night missions,Medium,Medium,USA,true,IP55,1325,320x256,12,0,true,false,Tactical first-responder drone with autonomous tracking and strobe lights
PARROT-ANAFIUSA,Parrot ANAFI USA,Parrot,true,false,0,14.7,6000,27,4,0.0,52.9,"RGB, Thermal",1.5,130,-35,43,true,false,true,Mountain Rescue,High altitude,High,Low,USA,true,IP53,500,320x256,21,0,true,false,Widest temperature tolerance here (-35 to 43 C); 55-second deploy
PARROT-ANAFIUSA-MIL,Parrot ANAFI USA MIL,Parrot,true,false,0,14.7,6000,25,10,0.0,52.9,"RGB, Thermal",1.5,240,-35,43,true,false,true,Mountain Rescue,High altitude,High,Medium,USA,true,IP53,500,320x256,21,0,true,false,AES-256 encrypted military variant; Blue UAS listed
BRINC-LEMUR2,BRINC LEMUR 2,BRINC,true,false,0,8,3000,17,2,0.45,79.2,"RGB, Thermal, Night Vision",1.0,280,0,40,true,true,true,Night Search,Night missions,Low,Medium,USA,true,IP24,1500,160x120,13,0,true,false,Indoor/confined-space drone; glass breaker; two-way audio; not for outdoor weather
TEAL-2,Teal 2,Teal Drones (Red Cat),true,false,0,12,4000,25,5,0.0,72.0,"RGB, Thermal",1.0,310,-20,50,true,true,true,Night Search,Night missions,Medium,Medium,USA,true,,1247,640x512,64,0,false,false,Designed for U.S. Army SRR night operations; Blue UAS listed
FREEFLY-ASTRO,Freefly Astro,Freefly Systems,true,false,0,12,4500,31,10,1.5,90.0,"RGB, Thermal",1.0,450,-10,40,true,false,true,Supply Delivery,Carry medical supplies,Medium,Medium-high,USA,true,,3600,640x512,61,0,false,true,Modular payload platform; Blue UAS listed; usable as supply carrier
YUNEEC-H520E,Yuneec H520E (E10TvX),Yuneec,true,false,0,13.8,4000,24,1.6,0.5,48.6,"RGB, Thermal",2.5,160,-10,40,true,false,true,Mountain Rescue,High altitude,High,Medium,China,false,IP43,1860,640x512,20,0,false,false,Hexacopter with motor redundancy — survives single motor failure
WINGTRA-ONE-G2,WingtraOne GEN II,Wingtra,true,false,0,12,5000,50,10,0.8,57.6,"RGB, Thermal",2.0,380,-10,40,true,false,true,Long Range,Larger search areas,Medium,Medium-high,Switzerland,true,IP54,3700,payload-dependent,61,0,false,false,VTOL fixed-wing — covers ~400 ha per flight; for wide-area search not close inspection
